date,year,month,city_tax_collections_non_vehicle_sales,city_vehicle_sales_tax_collections,city_total_tax_collections,parish_tax_collections_non_vehicle_sales_taxes,parish_vehicle_tax_collections,parish_total_tax_collections,city_parish_total_non_vehicle_sales_taxes,city_parish_vehicle_sales_tax_collections,city_parish_total_tax_collections
2011-01-01,2011,January,6365537,448163,6813700,4937417,518782,5456199,11302954,966945,12269899
2010-12-01,2010,December,7877288,383028,8260316,6910119,467652,7377771,14787407,850680,15638087
2010-11-01,2010,November,6358879,373646,6732525,5553739,394838,5948577,11912618,768484,12681102
2010-10-01,2010,October,6399847,460218,6860065,5285457,405578,5691035,11685304,865796,12551100
2010-09-01,2010,September,6636935,464545,7101480,5270879,487117,5757996,11907814,951662,12859476
2010-08-01,2010,August,6723700,449517,7173217,5395484,485865,5881349,12119184,935382,13054566
2010-07-01,2010,July,6381844,451373,6833217,5243370,449024,5692394,11625214,900397,12525611
2010-06-01,2010,June,6686716,431068,7117784,5851785,425923,6277708,12538501,856991,13395492
2010-05-01,2010,May,6680595,422909,7103504,5033859,408317,5442176,11714454,831226,12545680
2010-04-01,2010,April,6576093,487540,7063633,5599458,453775,6053233,12175551,941315,13116866
2010-03-01,2010,March,6982657,519950,7502607,6250522,451690,6702212,13233179,971640,14204819
2010-02-01,2010,February,6090511,397304,6487815,5009842,329353,5339195,11100353,726657,11827010
2010-01-01,2010,January,6136936,413408,6550344,4899592,441090,5340682,11036528,854498,11891026
2022-07-01,2022,July,9951191,868300,10819491,8195709,829318,9025027,18146900,1697618,19844518
2022-08-01,2022,August,10487854,881149,11369003,7975304,990983,8966287,18463158,1872132,20335290
2022-09-01,2022,September,10510306,857220,11367526,8242105,884886,9126991,18752411,1742106,20494517
2022-10-01,2022,October,10535161,691213,11226374,8585021,845382,9430403,19120182,1536595,20656777
2022-11-01,2022,November,10383838,669804,11053642,8097226,757923,8855149,18481064,1427727,19908791
2022-12-01,2022,December,11719273,708576,12427849,9318751,754461,10073212,21038024,1463037,22501061
2023-01-01,2023,January,9673935,762205,10436140,7719752,874568,8594320,17393687,1636773,19030460
2023-02-01,2023,February,9744919,656571,10401490,7163950,836995,8000945,16908869,1493566,18402435
2023-03-01,2023,March,11230294,869649,12099943,8678267,990783,9669050,19908561,1860432,21768993
2023-04-01,2023,April,10253566,718581,10972147,7773743,836130,8609873,18027309,1554711,19582020
2023-05-01,2023,May,10422816,721064,11143880,8844539,902861,9747400,19267355,1623925,20891280
2023-06-01,2023,June,10746119,744780,11490899,8247255,904650,9151905,18993374,1649430,20642804
2023-07-01,2023,July,10497385,745039,11242424,8221594,852336,9073930,18718979,1597375,20316354
2023-08-01,2023,August,10328195,793446,11121641,8283857,963963,9247820,18612052,1757409,20369461
2023-09-01,2023,September,10672830,708810,11381640,8199371,851580,9050951,18872201,1560390,20432591
2023-10-01,2023,October,10903779,748163,11651942,8487456,928466,9415922,19391235,1676629,21067864
